,quote.text,annotation.code,annotation.creatingUser,annotation.creationDateTime,quote.startPosition,quote.endPosition,quote.creatingUser,quote.creationDateTime,quote.modifyingUser,quote.modifiedDateTime,document.name,document.creatingUser,document.creationDateTime,document.modifyingUser,document.modifiedDateTime,document.plainTextPath,document.richTextPath,annotation.guid,annotation.codeRef.guid,quote.guid,document.guid,quote.paragraphStartPosition,quote.paragraphEndPosition,quote.paragraphText,quote.speaker,quote.speakerIsLearner
0,2019-10-04T03:46:10.704Z PERSON 10 :  they don't want this to print the matching amount?,General message attributes > contentDomain > codeSpecifications,Annotator_1,2023-11-17T21:26:17Z,10961,11049,Annotator_1,2023-11-17T21:26:13Z,Annotator_1,2023-11-17T21:26:13Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,5700B2BA-C112-4E2B-8B2C-215E19B42F0E,B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74,8803778E-50BA-47EF-B1DB-4FD8E7889F44,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,10961,11049,2019-10-04T03:46:10.704Z PERSON 10 :  they don't want this to print the matching amount?,10,False
1,2019-10-04T03:46:10.704Z PERSON 10 :  they don't want this to print the matching amount?,Questions > question > checkIfCorrect,Annotator_1,2024-03-13T21:04:13Z,10961,11049,Annotator_1,2023-11-17T21:26:13Z,Annotator_1,2023-11-17T21:26:13Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,DB1DAB9F-74E6-4A8F-9B02-D56D7B4A87AE,534411C7-5244-44CF-92D4-81179EDF168D,8803778E-50BA-47EF-B1DB-4FD8E7889F44,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,10961,11049,2019-10-04T03:46:10.704Z PERSON 10 :  they don't want this to print the matching amount?,10,False
2,2019-10-04T03:46:10.704Z PERSON 10 :  they don't want this to print the matching amount?,Questions > specificity > detailed,Annotator_1,2023-11-17T21:26:25Z,10961,11049,Annotator_1,2023-11-17T21:26:13Z,Annotator_1,2023-11-17T21:26:13Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,63CA3F90-C771-40D5-995E-D587DAA4FD63,AF54E626-5DB3-4DC7-86BB-2595F87B171C,8803778E-50BA-47EF-B1DB-4FD8E7889F44,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,10961,11049,2019-10-04T03:46:10.704Z PERSON 10 :  they don't want this to print the matching amount?,10,False
3,2019-10-04T03:05:25.611Z PERSON 9 : so why does it crash,General message attributes > contentDomain > bug,Annotator_1,2024-03-13T19:17:05Z,5081,5137,Annotator_1,2024-03-13T19:17:02Z,Annotator_1,2024-03-13T19:17:02Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,1F3BED22-D969-4156-A5E0-948DCA002D2E,F338EC25-DCC3-47BE-969C-14DE2ABF384C,7715A368-99E0-4E11-AA6A-77008450231E,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,5081,5137,2019-10-04T03:05:25.611Z PERSON 9 : so why does it crash,9,False
4,2019-10-04T03:05:25.611Z PERSON 9 : so why does it crash,Questions > question > guiding,Annotator_1,2024-03-13T19:17:02Z,5081,5137,Annotator_1,2024-03-13T19:17:02Z,Annotator_1,2024-03-13T19:17:02Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,5E277568-8882-4A24-99E5-308E6F123199,3EE7B6B2-7D7A-410B-A647-DD3BE0C8FB1C,7715A368-99E0-4E11-AA6A-77008450231E,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,5081,5137,2019-10-04T03:05:25.611Z PERSON 9 : so why does it crash,9,False
5,2019-10-04T03:05:25.611Z PERSON 9 : so why does it crash,Questions > specificity > vague,Annotator_1,2024-03-13T19:17:07Z,5081,5137,Annotator_1,2024-03-13T19:17:02Z,Annotator_1,2024-03-13T19:17:02Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,E8007BCF-E2D7-4AE6-847B-96098EE61708,FF9A0AB3-3FDA-4EA2-907D-792F183109FC,7715A368-99E0-4E11-AA6A-77008450231E,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,5081,5137,2019-10-04T03:05:25.611Z PERSON 9 : so why does it crash,9,False
6,2019-10-04T03:37:37.946Z PERSON 0 : This is just learning the fundamentals of python,Explanations and help > communicationMechanism > state,Annotator_0,2024-03-11T15:11:13Z,9488,9572,Annotator_0,2023-09-07T12:33:03Z,Annotator_0,2023-09-07T12:33:03Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,E02637FE-E630-482D-9F54-8953A5C704ED,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,36E62867-BCCB-4A66-AC53-EB52D2BA93AF,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,9488,9572,2019-10-04T03:37:37.946Z PERSON 0 : This is just learning the fundamentals of python,0,True
7,2019-10-04T03:37:37.946Z PERSON 0 : This is just learning the fundamentals of python,Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_0,2024-03-12T13:42:17Z,9488,9572,Annotator_0,2023-09-07T12:33:03Z,Annotator_0,2023-09-07T12:33:03Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,5F680436-FFBA-4A5E-A98A-471369B6A19B,E35A8596-D7AB-4540-918D-BF869846C5CB,36E62867-BCCB-4A66-AC53-EB52D2BA93AF,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,9488,9572,2019-10-04T03:37:37.946Z PERSON 0 : This is just learning the fundamentals of python,0,True
8,2019-10-04T03:37:37.946Z PERSON 0 : This is just learning the fundamentals of python,General message attributes > contentDomain > codingExperience,Annotator_0,2023-09-07T12:33:03Z,9488,9572,Annotator_0,2023-09-07T12:33:03Z,Annotator_0,2023-09-07T12:33:03Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,1355E344-248C-4EC9-8FEA-5B56F08FFBD0,820D1EF9-CEE5-48A0-959F-4EEC7973D3B2,36E62867-BCCB-4A66-AC53-EB52D2BA93AF,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,9488,9572,2019-10-04T03:37:37.946Z PERSON 0 : This is just learning the fundamentals of python,0,True
9,"2019-10-04T03:50:54.915Z PERSON 10 : correct there is an index error
2019-10-04T03:51:05.434Z PERSON 10 : and indent error",Explanations and help > communicationMechanism > positiveConfirmation,Annotator_2,2023-09-15T18:29:59Z,12811,12933,Annotator_2,2023-09-15T18:29:59Z,Annotator_2,2023-09-15T18:29:59Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,1BE7CA09-87B9-4E2A-8B8B-F93E9604B40D,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,2F50622B-3827-4AD9-94C1-295D6491D0D1,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,12811,12933,"2019-10-04T03:50:54.915Z PERSON 10 : correct there is an index error
2019-10-04T03:51:05.434Z PERSON 10 : and indent error",10,False
10,"2019-10-04T03:50:54.915Z PERSON 10 : correct there is an index error
2019-10-04T03:51:05.434Z PERSON 10 : and indent error",Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_2,2023-09-15T18:30:01Z,12811,12933,Annotator_2,2023-09-15T18:29:59Z,Annotator_2,2023-09-15T18:29:59Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,6FB7026A-3DC4-4D77-8A56-7A3E5BF3D394,E35A8596-D7AB-4540-918D-BF869846C5CB,2F50622B-3827-4AD9-94C1-295D6491D0D1,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,12811,12933,"2019-10-04T03:50:54.915Z PERSON 10 : correct there is an index error
2019-10-04T03:51:05.434Z PERSON 10 : and indent error",10,False
11,"2019-10-04T03:50:54.915Z PERSON 10 : correct there is an index error
2019-10-04T03:51:05.434Z PERSON 10 : and indent error",General message attributes > contentDomain > errorMsg,Annotator_2,2023-09-15T18:30:04Z,12811,12933,Annotator_2,2023-09-15T18:29:59Z,Annotator_2,2023-09-15T18:29:59Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,ECB7D638-D524-4DA0-AD37-A7CC8FDF897B,9A3D8A4B-D071-4D25-AF2F-8A2C7A8D11B3,2F50622B-3827-4AD9-94C1-295D6491D0D1,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,12811,12933,"2019-10-04T03:50:54.915Z PERSON 10 : correct there is an index error
2019-10-04T03:51:05.434Z PERSON 10 : and indent error",10,False
12,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",Explanations and help > communicationMechanism > suggest,Annotator_0,2023-09-07T11:41:48Z,1260,1458,Annotator_0,2023-09-07T11:41:48Z,Annotator_0,2024-03-11T13:11:25Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,5353BDB3-0C0D-4849-B37A-F48CDB9FC14C,CBC2A761-D76A-454D-B746-CC7CC056D0D8,56AE4125-FCC7-4A3F-BDDF-ADB862E37A12,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,1260,1458,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",1,False
13,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_0,2024-03-11T18:28:14Z,1260,1458,Annotator_0,2023-09-07T11:41:48Z,Annotator_0,2024-03-11T13:11:25Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,2881FADD-AA0D-4EAA-A7C0-F5C5E0199A25,E35A8596-D7AB-4540-918D-BF869846C5CB,56AE4125-FCC7-4A3F-BDDF-ADB862E37A12,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,1260,1458,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",1,False
14,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",General message attributes > contentDomain > proposedNewCode,Annotator_0,2023-09-07T11:42:00Z,1260,1458,Annotator_0,2023-09-07T11:41:48Z,Annotator_0,2024-03-11T13:11:25Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,BD39449D-31B3-424D-95AA-F6E547F0A433,9E1FD033-5597-4ABA-9225-72AFE3B60E72,56AE4125-FCC7-4A3F-BDDF-ADB862E37A12,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,1260,1458,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",1,False
15,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",Questions > specificity > detailed,Annotator_0,2024-03-13T20:01:32Z,1260,1458,Annotator_0,2023-09-07T11:41:48Z,Annotator_0,2024-03-11T13:11:25Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,67359A4C-5956-4B41-BF93-8B78DEBE460E,AF54E626-5DB3-4DC7-86BB-2595F87B171C,56AE4125-FCC7-4A3F-BDDF-ADB862E37A12,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,1260,1458,"2019-10-04T01:41:02.396Z PERSON 1 : instead it should be
2019-10-04T01:41:06.908Z PERSON 1 : attempt[i] in winning
2019-10-04T01:41:24.286Z PERSON 1 : also you should add 1 to i regardless of the if",1,False
16,"2019-10-04T03:42:41.161Z PERSON 10 : it
2019-10-04T03:42:50.239Z PERSON 10 : it's not too bad","Attitude, tone, or mood > expressPositivity > expressSupportingWords",Annotator_0,2023-09-07T12:35:16Z,10341,10434,Annotator_0,2023-09-07T12:35:16Z,Annotator_0,2024-03-11T15:30:49Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,28B17CE9-70B3-4642-9C75-F6265C00B40D,D7EE21DB-DE94-4B0D-8DC0-D159B3A69F4E,EB8EB36A-175D-4D42-A25E-FB1952B7591F,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,10341,10434,"2019-10-04T03:42:41.161Z PERSON 10 : it
2019-10-04T03:42:50.239Z PERSON 10 : it's not too bad",10,False
17,"2019-10-04T03:03:51.072Z PERSON 0 : I'm only able to change lines or indent the code
2019-10-04T03:03:56.465Z PERSON 0 : not add",Explanations and help > communicationMechanism > state,Annotator_2,2023-09-15T15:43:20Z,4800,4928,Annotator_2,2023-09-15T15:40:47Z,Annotator_2,2023-09-15T15:40:47Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,784FAE71-817C-4A06-A064-72326A1B7BB0,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,BC85EA4D-7B86-404D-912B-1EF63BEFCE55,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,4800,4928,"2019-10-04T03:03:51.072Z PERSON 0 : I'm only able to change lines or indent the code
2019-10-04T03:03:56.465Z PERSON 0 : not add",0,True
18,"2019-10-04T03:03:51.072Z PERSON 0 : I'm only able to change lines or indent the code
2019-10-04T03:03:56.465Z PERSON 0 : not add",Explanations and help > confidenceLevel > phrasedAsCertain,Annotator_2,2023-09-15T15:43:17Z,4800,4928,Annotator_2,2023-09-15T15:40:47Z,Annotator_2,2023-09-15T15:40:47Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,113E1FFB-F217-48A0-A775-518D80FE951B,E35A8596-D7AB-4540-918D-BF869846C5CB,BC85EA4D-7B86-404D-912B-1EF63BEFCE55,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,4800,4928,"2019-10-04T03:03:51.072Z PERSON 0 : I'm only able to change lines or indent the code
2019-10-04T03:03:56.465Z PERSON 0 : not add",0,True
19,"2019-10-04T03:03:51.072Z PERSON 0 : I'm only able to change lines or indent the code
2019-10-04T03:03:56.465Z PERSON 0 : not add",General message attributes > contentDomain > codeSpecifications,Annotator_2,2023-09-15T16:15:27Z,4800,4928,Annotator_2,2023-09-15T15:40:47Z,Annotator_2,2023-09-15T15:40:47Z,0adN1R9gJN.txt,Annotator_0,2023-09-06T00:02:17Z,57500D78-CB6B-4955-9A3C-4A3940F6263A,2023-09-06T00:02:17Z,internal://A0F2BEDB-3B7D-4A48-82C9-4C4414C5A0F3.txt,internal://000EBA3C-C34D-4326-8D79-31F58547683A.docx,61BF9B22-1937-4F6D-A2C2-8CB6E8B0B576,B9D21ADA-4B70-4294-BA8C-4B6EC19F4A74,BC85EA4D-7B86-404D-912B-1EF63BEFCE55,332B44AA-419A-4E04-AA18-7D3E35DDFE8D,4800,4928,"2019-10-04T03:03:51.072Z PERSON 0 : I'm only able to change lines or indent the code
2019-10-04T03:03:56.465Z PERSON 0 : not add",0,True
