,annotation.creatingUser,annotation.creationDateTime,annotation.guid,annotation.isCode,annotation.isNote,annotation.CodeRef.targetGUID,annotation.NoteRef.targetGUID,annotation.quoteGUID,quote.startPosition,quote.modifyingUser,quote.modifiedDateTime,quote.creatingUser,quote.creationDateTime,quote.endPosition,quote.guid,quote.name,quote.documentGUID,document.plainTextPath,document.modifyingUser,document.modifiedDateTime,document.creatingUser,document.creationDateTime,document.richTextPath,document.guid,document.name
0,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-08-25T16:14:14Z,F188A268-9B0E-45A8-A35F-D03C8EC0581F,True,False,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,,256BCB72-D5D0-4D1B-A4AD-A3DCB68095C9,1789,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:34:47Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:34:47Z,1810,256BCB72-D5D0-4D1B-A4AD-A3DCB68095C9,I think im getting it,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
1,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:20:35Z,FD4AF1CD-5E4F-408E-B3BE-B8584F691204,True,False,AC2D0B8E-E075-427C-B088-9232AC122638,,EA974506-E86E-4285-BA1E-5DFEA0BEF4BB,1688,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:19:22Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:19:22Z,1739,EA974506-E86E-4285-BA1E-5DFEA0BEF4BB,this is my bad english first time trying to explain,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
2,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:13:01Z,A78E0F71-D10C-49E1-9A80-163EA32D0A76,True,False,FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB,,A8A7C237-C69C-4A7E-A3D0-45A250C00A3C,1345,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,1500,A8A7C237-C69C-4A7E-A3D0-45A250C00A3C,PERSON 0 : isn't it doing N*N-1 PERSON 0 : in this case N is 5 so PERSON 0 : N*4 PERSON 0 : 5*4* PER…,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
3,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:52Z,28CD5C6A-8E0A-4729-B6BD-ABF714EF2CDA,True,False,6C367D66-7EBE-4C5C-BD16-7D332FA53A55,,A8A7C237-C69C-4A7E-A3D0-45A250C00A3C,1345,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,1500,A8A7C237-C69C-4A7E-A3D0-45A250C00A3C,PERSON 0 : isn't it doing N*N-1 PERSON 0 : in this case N is 5 so PERSON 0 : N*4 PERSON 0 : 5*4* PER…,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
4,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,8A88067C-7616-4203-905A-2FE67DC9AB50,True,False,AF54E626-5DB3-4DC7-86BB-2595F87B171C,,A8A7C237-C69C-4A7E-A3D0-45A250C00A3C,1345,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:12:50Z,1500,A8A7C237-C69C-4A7E-A3D0-45A250C00A3C,PERSON 0 : isn't it doing N*N-1 PERSON 0 : in this case N is 5 so PERSON 0 : N*4 PERSON 0 : 5*4* PER…,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
5,22E636BC-B569-422A-AE7A-993AD0ED5EFE,2023-11-15T19:48:55Z,4628CA17-27E3-440A-BDB1-781D587E8166,True,False,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,,840654C4-9399-4C0B-986F-910BEF2B39C6,770,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,802,840654C4-9399-4C0B-986F-910BEF2B39C6,yes. the final stack returns one,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
6,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:50:32Z,55AF8915-0F75-48AE-A9A5-68571D4C5A4A,True,False,E35A8596-D7AB-4540-918D-BF869846C5CB,,840654C4-9399-4C0B-986F-910BEF2B39C6,770,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,802,840654C4-9399-4C0B-986F-910BEF2B39C6,yes. the final stack returns one,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
7,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:05:58Z,A5ADEF1E-8E4A-4743-9403-601B2F62B403,True,False,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,,840654C4-9399-4C0B-986F-910BEF2B39C6,770,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,802,840654C4-9399-4C0B-986F-910BEF2B39C6,yes. the final stack returns one,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
8,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T15:54:33Z,105FD295-25E8-43EA-91BB-958C23211C8A,True,False,FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB,,840654C4-9399-4C0B-986F-910BEF2B39C6,770,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:52Z,802,840654C4-9399-4C0B-986F-910BEF2B39C6,yes. the final stack returns one,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
9,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,84A69C86-021A-4B8A-A71C-D2094DB41BC5,True,False,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,,71DE84B9-4FC9-4D46-9DCE-45DA66E3354D,993,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,1018,71DE84B9-4FC9-4D46-9DCE-45DA66E3354D,ahh yeah I think I get it,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
10,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:41:38Z,0EA94ED5-D575-46EF-9236-45CD0C00FA7D,True,False,A64C5184-4DB7-4263-A5FF-C342F2ECD671,,71DE84B9-4FC9-4D46-9DCE-45DA66E3354D,993,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,1018,71DE84B9-4FC9-4D46-9DCE-45DA66E3354D,ahh yeah I think I get it,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
11,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:05:36Z,C880988A-E5AB-4A33-B9CB-6D2A41985A90,True,False,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,,71DE84B9-4FC9-4D46-9DCE-45DA66E3354D,993,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:55:26Z,1018,71DE84B9-4FC9-4D46-9DCE-45DA66E3354D,ahh yeah I think I get it,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
12,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:08:57Z,E45A5EB8-7905-4B74-A54B-ED906A50FC36,True,False,47320667-5DDF-4B6A-8DDC-20BAD1851788,,CB38F254-5359-4778-BB06-D734C5024F68,269,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:08:57Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:08:57Z,271,CB38F254-5359-4778-BB06-D734C5024F68,hi,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
13,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-08-25T16:14:14Z,533E2DBF-4E3E-4D26-8434-2B031795EC08,True,False,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,,BAFA0D5F-BA06-4C16-A284-758F5F4C1439,3313,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:35:54Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T17:35:54Z,3324,BAFA0D5F-BA06-4C16-A284-758F5F4C1439,"I see, yeah",E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
14,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:13Z,AB733C8E-252E-4290-9F48-C95C27E08EB8,True,False,47A85B93-33D7-403D-A0AD-E2396DDC0474,,FF249E69-C954-49EF-9C0A-7445F0FF6E94,1811,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:20:20Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:13Z,1892,FF249E69-C954-49EF-9C0A-7445F0FF6E94,PERSON 1 : ok lets check this point PERSON 5 : (bye) PERSON 1 : return value is 1,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
15,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:07:20Z,04618345-DB33-45DA-857A-A8E8CE9CF010,True,False,E35A8596-D7AB-4540-918D-BF869846C5CB,,FF249E69-C954-49EF-9C0A-7445F0FF6E94,1811,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:20:20Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:13Z,1892,FF249E69-C954-49EF-9C0A-7445F0FF6E94,PERSON 1 : ok lets check this point PERSON 5 : (bye) PERSON 1 : return value is 1,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
16,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:07:09Z,F4D9943B-3152-4AE6-AE17-2998B2C03466,True,False,EE8FDA12-3B2A-42EF-9E7B-01EAF8BD413C,,FF249E69-C954-49EF-9C0A-7445F0FF6E94,1811,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:20:20Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:13Z,1892,FF249E69-C954-49EF-9C0A-7445F0FF6E94,PERSON 1 : ok lets check this point PERSON 5 : (bye) PERSON 1 : return value is 1,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
17,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-12T15:59:14Z,38EFEF8E-152A-4940-AA06-805FF9EDDDF4,True,False,FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB,,FF249E69-C954-49EF-9C0A-7445F0FF6E94,1811,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T21:20:20Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T20:55:13Z,1892,FF249E69-C954-49EF-9C0A-7445F0FF6E94,PERSON 1 : ok lets check this point PERSON 5 : (bye) PERSON 1 : return value is 1,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
18,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:24:50Z,0932DC3E-3B14-4EA5-927A-8896E42030BC,True,False,FF6B2DBF-2318-46A8-B600-5B15F0E1D6BB,,993CC3C1-F512-462D-AAF4-5B4CF96CD27C,183,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:26:47Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:23:01Z,257,993CC3C1-F512-462D-AAF4-5B4CF96CD27C,so i just had a question PERSON 0 : so when i get to the return value of 1,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
19,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:49:33Z,02999EA9-4B7B-4B4F-8BD1-4D56785169D1,True,False,6C367D66-7EBE-4C5C-BD16-7D332FA53A55,,993CC3C1-F512-462D-AAF4-5B4CF96CD27C,183,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:26:47Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T19:23:01Z,257,993CC3C1-F512-462D-AAF4-5B4CF96CD27C,so i just had a question PERSON 0 : so when i get to the return value of 1,E266595E-8846-4BB3-904F-A818FDD5DC0B,internal://0E23F8DC-8290-4123-A846-44F43C5F1593.txt,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:57:28Z,8F219B13-6EC7-4DBD-A8B7-73F4C1A66B69,2023-07-11T18:56:38Z,internal://8E942AD2-4D39-4220-A27B-4BB229031087.docx,E266595E-8846-4BB3-904F-A818FDD5DC0B,zQil5wd0HT
